Key,Source,File,Field,ScreenName,ScreenWidth,ScreenHeight,OldTextureResolution,NewTextureResolution
Cockpit/CockpitOpen,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_01,"9","2",128,2304
Cockpit/RoverCockpit,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_01,"5","3",256,854
Cockpit/RoverCockpit,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_02,"5","3",256,854
Cockpit/RoverCockpit,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_03,"5","3",256,854
Cockpit/RoverCockpit,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_04,"4","3",256,683
Cockpit/RoverCockpit,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_05,"4","3",256,683
Cockpit/OpenCockpitSmall,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_01,"5","3",512,854
Cockpit/OpenCockpitLarge,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_01,"5","3",512,854
Cockpit/OpenCockpitLarge,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_02,"3","2",256,768
Cockpit/OpenCockpitLarge,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_03,"3","2",256,768
Cockpit/OpenCockpitLarge,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_04,"3","4",256,683
Cockpit/OpenCockpitLarge,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_05,"4","3",256,683
Cockpit/SmallBlockFlushCockpit,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_01,"4","3",256,683
Cockpit/SmallBlockFlushCockpit,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Control.sbc,ScreenArea,CockpitScreen_02,"4","5",256,640
Cockpit/LargeBlockSuspendedControlSeat,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_CoreSystemsPack.sbc,ScreenArea,TransparentScreenArea90,"7","3",512,1195
Cockpit/SmallBlockSuspendedControlSeat,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_CoreSystemsPack.sbc,ScreenArea,TransparentScreenArea90,"2","1",512,1024
Projector/LargeBlockConsole,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_01,"1","1",512,512
Projector/LargeBlockConsole,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_02,"16","11",256,745
Projector/LargeBlockConsole,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_03,"4","6",128,768
Projector/LargeBlockConsole,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_04,"2","1",128,1024
Cockpit/SmallBlockCockpitIndustrial,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_01,"7","5",256,717
Cockpit/SmallBlockCockpitIndustrial,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_02,"3","2",256,768
Cockpit/SmallBlockCockpitIndustrial,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_03,"7","5",256,717
Cockpit/SmallBlockCockpitIndustrial,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_04,"2","1",128,1024
Cockpit/SmallBlockCockpitIndustrial,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_05,"5","6",128,615
Cockpit/LargeBlockCockpitIndustrial,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_01,"5","3",256,854
Cockpit/LargeBlockCockpitIndustrial,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_02,"10","7",256,732
Cockpit/LargeBlockCockpitIndustrial,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_03,"10","7",256,732
Cockpit/LargeBlockCockpitIndustrial,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_04,"5","3",256,854
Cockpit/LargeBlockCockpitIndustrial,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_05,"5","3",256,854
Cockpit/LargeBlockCockpitIndustrial,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack.sbc,ScreenArea,CockpitScreen_06,"4","5",256,640
LCDPanelsBlock/LabEquipment,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack2.sbc,ScreenArea,CockpitScreen_01,"9","9",512,512
LCDPanelsBlock/LabEquipment,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack2.sbc,ScreenArea,CockpitScreen_02,"7","4",256,896
LCDPanelsBlock/MedicalStation,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack2.sbc,ScreenArea,CockpitScreen_01,"15","9",512,854
LCDPanelsBlock/MedicalStation,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack2.sbc,ScreenArea,CockpitScreen_02,"15","9",512,854
Cockpit/SmallBlockCapCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,CockpitScreen_01,"3","1",128,1536
Cockpit/SmallBlockCapCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,CockpitScreen_02,"6","5",256,615
Cockpit/SmallBlockCapCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,CockpitScreen_03,"2","1",256,1024
Cockpit/SmallBlockCapCockpit,AHI Gas Rebalance (Realistic) [612067769],C:\Program Files (x86)\Steam\steamapps\workshop\content\244850\612067769\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,CockpitScreen_04,"6","5",256,615
MedicalRoom/LargeMedicalRoomReskin,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,CockpitScreen_01,"5","3",256,854
TextPanel/LargeDiagonalLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea,"1414","1000",512,724
TextPanel/LargeDiagonalLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea90,"1000","1414",512,724
TextPanel/LargeDiagonalLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea180,"1414","1000",512,724
TextPanel/LargeDiagonalLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea270,"1000","1414",512,724
TextPanel/SmallDiagonalLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea,"1414","1000",512,724
TextPanel/SmallDiagonalLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea90,"1000","1414",512,724
TextPanel/SmallDiagonalLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea180,"1414","1000",512,724
TextPanel/SmallDiagonalLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea270,"1000","1414",512,724
TextPanel/LargeCurvedLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea,"5","3",512,854
TextPanel/LargeCurvedLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea90,"3","5",512,854
TextPanel/LargeCurvedLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea180,"5","3",512,854
TextPanel/LargeCurvedLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea270,"3","5",512,854
TextPanel/SmallCurvedLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea,"5","3",512,854
TextPanel/SmallCurvedLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea90,"3","5",512,854
TextPanel/SmallCurvedLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea180,"5","3",512,854
TextPanel/SmallCurvedLCDPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,ScreenArea270,"3","5",512,854
ButtonPanel/LargeBlockInsetButtonPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,CockpitScreen_01,"4","3",256,683
ButtonPanel/LargeBlockInsetButtonPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,CockpitScreen_02,"4","3",256,683
ButtonPanel/LargeBlockInsetButtonPanel,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_DecorativePack3.sbc,ScreenArea,CockpitScreen_03,"4","3",256,683
StoreBlock/StoreBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Economy.sbc,ScreenArea,StoreScreen_01,"16","10",512,820
StoreBlock/StoreBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Economy.sbc,ScreenArea,StoreScreen_02,"5","2",256,1280
SafeZoneBlock/SafeZoneBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Economy.sbc,ScreenArea,CockpitScreen_01,"16","10",512,820
SafeZoneBlock/SafeZoneBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Economy.sbc,ScreenArea,CockpitScreen_02,"5","2",256,1280
ContractBlock/ContractBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Economy.sbc,ScreenArea,ContractsScreen_01,"16","10",512,820
ContractBlock/ContractBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Economy.sbc,ScreenArea,ContractsScreen_02,"5","2",256,1280
FunctionalBlock/ServicesTerminal,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Economy.sbc,ScreenArea,CockpitScreen_01,"10","16",512,820
VendingMachine/VendingMachine,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_EconomyDeluxe.sbc,ScreenArea,VendingScreen_01,"15","9",1024,1024
VendingMachine/VendingMachine,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_EconomyDeluxe.sbc,ScreenArea,VendingScreen_02,"11","4",128,1408
StoreBlock/AtmBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_EconomyDeluxe.sbc,ScreenArea,ATM_Screen,"16","10",512,820
StoreBlock/AtmBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_EconomyDeluxe.sbc,ScreenArea,ATM_Keyboard,"5","2",256,1280
StoreBlock/AtmBlock,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_EconomyDeluxe.sbc,ScreenArea,ATM_Numpad,"4","5",128,640
Cockpit/LargeBlockLabDeskSeat,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Fieldwork.sbc,ScreenArea,CockpitScreen_01,"13","9",512,740
LCDPanelsBlock/LargeBlockLabDeskMicroscope,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_Fieldwork.sbc,ScreenArea,CockpitScreen_01,"13","9",512,740
MyProgrammableBlock/LargeProgrammableBlockReskin,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_GridAIPack.sbc,ScreenArea,CockpitScreen_01,"4","5",512,640
MyProgrammableBlock/LargeProgrammableBlockReskin,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_GridAIPack.sbc,ScreenArea,CockpitScreen_02,"5","3",256,854
MyProgrammableBlock/SmallProgrammableBlockReskin,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_GridAIPack.sbc,ScreenArea,CockpitScreen_01,"10","7",256,732
MyProgrammableBlock/SmallProgrammableBlockReskin,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_GridAIPack.sbc,ScreenArea,CockpitScreen_02,"11","4",128,1408
Cockpit/SpeederCockpit,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_GridAIPack.sbc,ScreenArea,CockpitScreen_01,"5","3",256,854
Cockpit/SpeederCockpit,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_GridAIPack.sbc,ScreenArea,CockpitScreen_02,"4","2",256,1024
Cockpit/SpeederCockpitCompact,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_GridAIPack.sbc,ScreenArea,CockpitScreen_01,"5","3",256,854
Cockpit/SpeederCockpitCompact,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_GridAIPack.sbc,ScreenArea,CockpitScreen_02,"4","2",256,1024
EmotionControllerBlock/EmotionControllerLarge,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_GridAIPack.sbc,Direct,,"0","0",512,512
EmotionControllerBlock/EmotionControllerLarge,Vanilla,C:\Program Files (x86)\Steam\steamapps\common\SpaceEngineers\Content\Data\CubeBlocks\CubeBlocks_GridAIPack.sbc,ScreenArea,ScreenArea,"1","1",512,512
